;ChannelName;ChannelID;VideoID;Titulo;Artist;PublishDate;PublishTime;ViewsCount;LikeCount;FavoriteCount;CommentCount
3160;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;ur6NagTpdzc;Anitta feat Arcangel & De La Ghetto - Tócame (Letra Traduzida);Anitta feat Arcangel & De La Ghetto;2020-07-31;15:00:19Z;8354.0;714.0;0.0;59.0
3161;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;dB_Zzt3XBO0;Beethoven e JS O Mão de Ouro - 5ª Sinfonia (Remix);Beethoven e JS O Mão de Ouro;2020-07-31;03:02:17Z;373395.0;488.0;0.0;74.0
3162;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;pQY3K16QT5Y;Live Warner Pride 2020 (Videocase);Live Warner Pride 2020 (Videocase);2020-07-30;22:00:31Z;970.0;75.0;0.0;3.0
3163;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;wzpa6AK9YTs;Jason Derulo - Take You Dancing (Legendado PT-BR);Jason Derulo;2020-07-29;14:00:26Z;56509.0;676.0;0.0;19.0
3164;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;TtNwRGqnFwc;Coleção Disquinho - O Pequeno Polegar;Coleção Disquinho;2020-07-28;15:00:16Z;88316.0;134.0;0.0;3.0
3165;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;PdtYNTDRLBQ;Coleção Disquinho - Chapeuzinho Vermelho;Coleção Disquinho;2020-07-28;15:00:09Z;155987.0;1156.0;0.0;55.0
3166;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;dve5BGYDI6Y;Coleção Disquinho - A Cigarra e a Formiga;Coleção Disquinho;2020-07-28;15:00:09Z;108226.0;499.0;0.0;24.0
3167;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;sYWPqaBoKEo;Papatinho feat. will.i.am e Kevin O Chris - 5 estrelas (LETRA OFICIAL);Papatinho feat. will.i.am e Kevin O Chris;2020-07-24;03:02:49Z;9568.0;433.0;0.0;25.0
3168;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;wzNw7YJ7usk;Day e Lara - Saudade Nível Hard;Day e Lara;2020-07-23;21:00:16Z;5179.0;128.0;0.0;2.0
3169;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;vFHF9iB5lT8;Day e Lara - Até Ex Duvida;Day e Lara;2020-07-23;21:00:13Z;3758.0;105.0;0.0;2.0
